,Seed,Step,Coverage
946,0,82457,445
947,0,82463,445
948,0,82509,445
949,0,82555,445
950,0,82708,445
951,0,83233,445
952,0,83284,445
953,0,83466,445
954,0,83643,445
955,0,83876,448
956,0,84043,448
957,0,84189,448
958,0,84290,448
959,0,84329,448
960,0,84346,448
961,0,84373,448
962,0,84517,448
963,0,84794,448
964,0,84816,448
965,0,85163,448
966,0,85809,448
967,0,86115,448
968,0,86136,448
969,0,86407,448
970,0,86514,448
971,0,86605,448
972,0,86610,448
973,0,86741,448
974,0,86838,448
975,0,87029,448
976,0,87295,448
977,0,87533,448
978,0,87685,448
979,0,87799,448
980,0,87975,448
981,0,88076,448
982,0,88221,448
983,0,88271,448
984,0,88347,448
985,0,88599,448
986,0,88682,448
987,0,88823,448
988,0,88854,448
989,0,88860,448
990,0,88936,448
991,0,88943,448
992,0,89045,448
993,0,89141,448
994,0,89143,448
995,0,89170,448
996,0,89487,448
997,0,89513,448
998,0,89651,450
999,0,89787,450
1000,0,89794,450
1001,0,89927,450
1002,0,90311,450
1003,0,90597,450
1004,0,90693,450
1005,0,90874,450
1006,0,90981,450
1007,0,91047,450
1008,0,91054,450
1009,0,91105,450
1010,0,91116,450
1011,0,91132,450
1012,0,91150,450
1013,0,91238,450
1014,0,92044,450
1015,0,92182,451
1016,0,92444,451
1017,0,92667,451
1018,0,92758,451
1019,0,93312,451
1020,0,93319,451
1021,0,93421,451
1022,0,93655,451
1023,0,93736,451
1024,0,93868,451
1025,0,93964,451
1026,0,93973,451
1027,0,94009,451
1028,0,94426,451
1029,0,94502,451
1030,0,94613,451
1031,0,94923,451
1032,0,95074,451
1033,0,95390,451
1034,0,95433,451
1035,0,95486,453
1036,0,95505,453
1037,0,95637,453
1038,0,95649,453
1039,0,96145,453
1040,0,96197,453
1041,0,96318,453
1042,0,96369,453
1043,0,96416,453
1044,0,96498,453
1045,0,96524,453
1046,0,96765,453
1047,0,97106,453
1048,0,97156,453
1049,0,97222,453
1050,0,97288,453
1051,0,97484,455
1052,0,97565,455
1053,0,97606,455
1054,0,97971,455
1055,0,98180,455
1056,0,98387,455
1057,0,98788,455
1058,0,99228,455
1059,0,99240,455
1060,0,99421,455
1061,0,99429,455
1062,0,99540,455
1063,0,99733,455
1064,0,99906,455
1065,0,99932,455
1066,0,99988,455
1067,0,100245,455
1068,0,100384,455
1069,0,100636,455
1070,0,100660,455
1071,0,100664,455
1072,0,100917,455
1073,0,101078,455
1074,0,101084,455
1075,0,101196,455
1076,0,101453,455
1077,0,101507,455
1078,0,101617,455
1079,0,101618,455
1080,0,101774,455
1081,0,102090,455
1082,0,102097,455
1083,0,102119,455
1084,0,102506,455
1085,0,102577,455
1086,0,102599,455
1087,0,102615,455
1088,0,102762,455
1089,0,102984,455
1090,0,103155,455
1091,0,103291,455
1092,0,103467,455
1093,0,103537,455
1094,0,103598,455
1095,0,103664,455
1096,0,103747,455
1097,0,103770,455
1098,0,103818,455
1099,0,103935,455
1100,0,104158,455
1101,0,104169,455
1102,0,104260,455
1103,0,104427,455
1104,0,104559,455
1105,0,104680,455
1106,0,104731,455
1107,0,104878,455
1108,0,105110,455
1109,0,105154,455
1110,0,105180,455
1111,0,105285,455
1112,0,105463,455
1113,0,105824,455
1114,0,105860,455
1115,0,105907,455
1116,0,105954,455
1117,0,106020,455
1118,0,106166,455
1119,0,106217,455
1120,0,106268,455
1121,0,106294,455
1122,0,106362,455
1123,0,106714,455
1124,0,106770,455
1125,0,106811,455
1126,0,107000,455
1127,0,107266,455
1128,0,107352,455
1129,0,107499,455
1130,0,107545,455
1131,0,107591,455
1132,0,107626,455
1133,0,107637,455
1134,0,107688,455
1135,0,107954,455
1136,0,108004,455
1137,0,108063,455
1138,0,108450,455
1139,0,108921,455
1140,0,108922,455
1141,0,109009,455
1142,0,109145,455
1143,0,109616,455
1144,0,109963,455
1145,0,110556,455
1146,0,110719,455
1147,0,110722,455
1148,0,110728,455
1149,0,110799,455
1150,0,111117,455
1151,0,111218,455
1152,0,111374,455
1153,0,111393,455
1154,0,111591,455
1155,0,111637,455
1156,0,111918,455
1157,0,112164,456
1158,0,112200,456
1159,0,112216,456
1160,0,112382,456
1161,0,112430,456
1162,0,112435,456
1163,0,112600,456
1164,0,112981,456
1165,0,113034,456
1166,0,113207,456
1167,0,113233,456
1168,0,113303,456
1169,0,113359,456
1170,0,113430,456
1171,0,113526,456
1172,0,113705,456
1173,0,113771,456
1174,0,113928,456
1175,0,113969,456
1176,0,114075,456
1177,0,114201,457
1178,0,114463,457
1179,0,114636,457
1180,0,114919,457
1181,0,114975,457
1182,0,115067,457
1183,0,115268,457
1184,0,115516,457
1185,0,116107,457
1186,0,116670,457
1187,0,116771,457
1188,0,116870,457
1189,0,116893,457
1190,0,117157,457
1191,0,117238,457
1192,0,117364,457
1193,0,117405,457
1194,0,117562,457
1195,0,117563,457
1196,0,117735,457
1197,0,118092,457
1198,0,118110,457
1199,0,118173,457
1200,0,118428,457
1201,0,118619,457
1202,0,119146,457
1203,0,119179,457
1204,0,119285,457
1205,0,119331,457
1206,0,119477,457
1207,0,119602,457
1208,0,119878,457
1209,0,120024,457
1210,0,120093,457
1211,0,120179,457
1212,0,120222,457
1213,0,120298,457
1214,0,120374,457
1215,0,120568,457
1216,0,121024,457
1217,0,121486,457
1218,0,121855,457
1219,0,122156,457
1220,0,122189,457
1221,0,122320,457
1222,0,123681,457
1223,0,123968,457
1224,0,124032,457
1225,0,124159,457
1226,0,124273,457
1227,0,124282,457
1228,0,124548,457
1229,0,124620,457
1230,0,124701,457
1231,0,125052,457
1232,0,125110,457
1233,0,125118,457
1234,0,125134,457
1235,0,125325,457
1236,0,125418,457
1237,0,125577,457
1238,0,125639,457
1239,0,125820,457
1240,0,125903,457
1241,0,125950,457
1242,0,126069,457
1243,0,126242,457
1244,0,126293,457
1245,0,126335,457
1246,0,126583,457
1247,0,126600,457
1248,0,126606,457
1249,0,127026,457
1250,0,127107,457
1251,0,127173,457
1252,0,127326,457
1253,0,127428,457
1254,0,127430,457
1255,0,127579,457
1256,0,128059,457
1257,0,128180,457
1258,0,128416,457
1259,0,128607,457
1260,0,128990,457
1261,0,129521,457
1262,0,129683,457
1263,0,130014,457
1264,0,130378,457
1265,0,130424,457
1266,0,130589,457
1267,0,130725,457
1268,0,130840,457
1269,0,130996,457
1270,0,131107,457
1271,0,131248,457
1272,0,131351,457
1273,0,131357,457
1274,0,131364,457
1275,0,131395,457
1276,0,131621,457
1277,0,131842,457
1278,0,132213,457
1279,0,132359,457
1280,0,132402,457
1281,0,132431,457
1282,0,132542,457
1283,0,132648,457
1284,0,132669,457
1285,0,132721,457
1286,0,133005,457
1287,0,133046,457
1288,0,133523,457
1289,0,133679,457
1290,0,133701,457
1291,0,133707,457
1292,0,133809,457
1293,0,133910,457
1294,0,134116,457
1295,0,134751,457
1296,0,135137,457
1297,0,135338,457
1298,0,135654,457
1299,0,136375,457
1300,0,136409,457
1301,0,136410,457
1302,0,136421,457
1303,0,136633,457
1304,0,136862,457
1305,0,137023,457
1306,0,137049,457
1307,0,137085,457
1308,0,137090,457
1309,0,137098,457
1310,0,137149,457
1311,0,137211,457
1312,0,137347,457
1313,0,137943,457
1314,0,137980,457
1315,0,138030,457
1316,0,138051,457
1317,0,138058,457
1318,0,138164,457
1319,0,138260,457
1320,0,139137,457
1321,0,139533,457
1322,0,140314,457
1323,0,140805,457
1324,0,140892,457
1325,0,141208,457
1326,0,141392,457
1327,0,141399,457
1328,0,141416,457
1329,0,141802,457
1330,0,141910,457
1331,0,141942,457
1332,0,142328,457
1333,0,142446,457
1334,0,142477,457
1335,0,142603,457
1336,0,142901,457
1337,0,143053,457
1338,0,143219,457
1339,0,143443,457
1340,0,143954,457
1341,0,144041,457
1342,0,144139,457
1343,0,144431,457
1344,0,144477,457
1345,0,144778,457
1346,0,144845,457
1347,0,144922,457
1348,0,145033,457
1349,0,145275,457
1350,0,145276,457
1351,0,145325,457
1352,0,145504,457
1353,0,145576,457
1354,0,145652,457
1355,0,145743,457
1356,0,146084,457
1357,0,146135,457
1358,0,146317,457
1359,0,146338,457
1360,0,146738,457
1361,0,146775,457
